Product Title,SKU #,UPC,Whole Sale Price Per Unit
WHOLESALE PINK CAMO BANDANA,SKU #531477 ,UPC: 034689160205,$1.79 
WHOLESALE UNISEX WINTER KNIT CAPS,SKU #993119 ,,$2.00 
WHOLESALE RAINBOW COLORED SUSPENDERS,SKU #1785676 ,,$2.45 
WHOLESALE DEMI FRAME READERS GLASSES WITH CASES AND DISPLAY,SKU #1893844 ,,$2.41 
WHOLESALE BASEBALL HATS,SKU #683917 ,,$3.19 
WHOLESALE UMBRELLA- PLAID,SKU #1819404 ,,$3.25 
WHOLESALE ADJUSTABLE BASEBALL HATS CAPS REBEL,SKU #697766 ,,$3.45 
WHOLESALE STRAW COWBOY HAT,SKU #1821088 ,,$3.45 
WHOLESALE FIRE DEPARTMENT BASEBALL HAT,SKU #782360 ,,$3.45 
WHOLESALE OPTISPEX MAGNIFYING NECKLACE GLASSES,SKU #1945541 ,UPC: 722950276969,$3.65 
WHOLESALE PARK RANGER HAT,SKU #1895850 ,UPC: 085754162426,$4.45 
"WHOLESALE ALL-WEATHER 12 PIECE 40"" UMBRELLAS IN COUNTERTOP DISPLAY",SKU #704197 ,UPC: 024409949739,$4.05 
WHOLESALE CLOSEOUT LONDON FOG MEN'S GREY NEWSBOY CAP,SKU #2130632 ,,$6.00 
WHOLESALE YUPOONG BRUSHED COTTON TWILL 6-PANEL MID-PROFILE SANDWICH CAP,SKU #2021872 ,,
"WHOLESALE ALL-WEATHER 48"" AUTO-OPEN UMBRELLA",SKU #1224959 ,UPC: 024409928307,
WHOLESALE SUNLILY ROLL-N-GO SUN HAT,SKU #2128836 ,UPC: 722950288818,$9.75 
WHOLESALE SUNLILY BALI WRAP - ASSORTED COLORS,SKU #1949553 ,UPC: 722950275610,$9.90 
WHOLESALE ADAMS 6-PANEL UV LOW-PROFILE CAP WITH ELONGATED BILL AND NECK CAPE,SKU #2020627 ,,
WHOLESALE EYEGLASS REPAIR KIT COUNTERTOP DISPLAY,SKU #1944575 ,UPC: 781274323070,
WHOLESALE GIRL'S CUTE ASSORTED ANIMAL SCARF/EAR MUFF SET,SKU #1930542 ,,$5.15 
WHOLESALE IMPRESS 3-PIECE BLACK HAIR NETS (144-CT CASE),SKU #1870435 ,,$0.87 
WHOLESALE TINKER BELL GIRL'S HAIR DISPLAY ASSORTMENT,SKU #1082247 ,UPC: 613153993008,$0.88 
WHOLESALE CHILDREN'S KNIT MAGIC GLOVES,SKU #2132474 ,UPC: 701953048308,$0.70 
WHOLESALE ELASTIC HAIR BANDS COUNTERTOP DISPLAY,SKU #1278740 ,UPC: 731015166459,$0.80 
WHOLESALE POWER CLUB BLACK BEANIE HATS,SKU #903402 ,UPC: 063910180019,$1.10 
NEW! WHOLESALE METAL FRAME READING GLASSES DISPLAY,SKU #2182723 ,UPC: 758266004125,$1.10 
WHOLESALE SHEER SCARF,SKU #2124672 ,,$1.30 
WHOLESALE MEN'S HAT & GLOVES SET - 3 ASSORTED COLORS,SKU #2124669 ,,$1.40 
WHOLESALE USA EAGLE BIKE EMBROIDERED BANDANA/SKULL CAP,SKU #2123636 ,,$1.70 
WHOLESALE BORN IN THE USA EMBROIDERED BANDANA/SKULL CAP,SKU #2123635 ,,$1.70 
WHOLESALE CASUAL OUTFITTERS PRINTED TUBE HEADBAND,SKU #1797316 ,UPC: 024409981821,$1.36 
WHOLESALE VENTURE READERS,SKU #1265294 ,UPC: 030968033369,$1.62 
WHOLESALE JOCKEY STRUCTURED BASEBALL CAP/HAT - KHAKI/BLACK,SKU #1995935 ,,$1.89 
WHOLESALE ZEBRA PRINT SUNGLASSES WITH BOW,SKU #1470236 ,UPC: 097138775344,$1.97 
WHOLESALE RIBBONZ ELASTIC HAIR TIE/BRACELET 5-PACK,SKU #2132973 ,,$1.66 
WHOLESALE SAFARI READERS,SKU #1265296 ,UPC: 030968033338,$1.62 
WHOLESALE WOMEN'S WOVEN FASHION HAT,SKU #1756429 ,UPC: 731015189021,$1.36 
WHOLESALE BIG ACCESSORIES 6-PANEL STRUCTURED TRUCKER CAP,SKU #2020738 ,,
WHOLESALE LAVELLO INFINITY SCARF,SKU #1917080 ,UPC: 722950269893,$2.80 
WHOLESALE HOMETOWN CLASSICS INFINITY SCARF,SKU #1941156 ,UPC: 722950271827,$2.80 
"WHOLESALE BOSS SNAP BACK HAT, BASEBALL CAP",SKU #1860544 ,,$3.03 
WHOLESALE BRITT'S KNITS HEAD WARMERS,SKU #1925817 ,UPC: 722950265482,$3.15 
WHOLESALE 100 PIECE GIRL'S HAIR ACCESSORY MEGA PACKS,SKU #2132844 ,,$2.82 
WHOLESALE WOMAN NEWSBOY HATS - ASSORTED COLORS,SKU #1935206 ,,$3.45 
WHOLESALE BIG ACCESSORIES 6-PANEL BRUSHED TWILL UNSTRUCTURED CAP,SKU #2021755 ,,
NEW! WHOLESALE YOUTH FOOTBALL BELT - BLACK,SKU #2256587 ,,
NEW! WHOLESALE ADULT FOOTBALL BELT - BLACK,SKU #2199994 ,,
WHOLESALE WOMEN'S FEDORA HATS WITH FLOWER BANDS,SKU #1895260 ,,$3.95 
WHOLESALE GIRLS MULTI ZIG-ZAG HAT & GLOVES SET,SKU #2127189 ,UPC: 891388016444,$4.00 
WHOLESALE BOYS SLEEPY MONSTER HAT & GLOVES SET,SKU #2127176 ,UPC: 891388016550,$4.00 
WHOLESALE PIZZA HAT,SKU #1776531 ,,$4.23 
WHOLESALE BIG ACCESSORIES COTTON TWILL VISOR,SKU #2022364 ,,
WHOLESALE ANVIL SOLID BRUSHED TWILL CAP,SKU #2021975 ,,
WHOLESALE WEATHER STATION YOUTH PONCHOS,SKU #1893854 ,,$4.75 
WHOLESALE TEAM 365 STRIPED POM BEANIE,SKU #2040319 ,,
WHOLESALE ADAMS ACE VAT-DYED TWILL VISOR,SKU #2022231 ,,
"WHOLESALE RAINWORTHY 60"" GOLF UMBRELLAS",SKU #315709 ,UPC: 607656000301,$7.10 
WHOLESALE STRAW COWBOY HAT WITH MEDALLION,SKU #1980816 ,,$7.25 
WHOLESALE AUTHENTIC PIGMENT PIGMENT-DYED RAW-EDGE PATCH BASEBALL CAP,SKU #2020640 ,,
WHOLESALE CLASSIC SAFARI DIGITAL CAMO RAIN JACKET - MEDIUM/LARGE,SKU #1797521 ,UPC: 024409488801,
WHOLESALE CLASSIC SAFARI DIGITAL CAMO RAIN JACKET - XL/2X,SKU #1797514 ,UPC: 024409488825,
WHOLESALE KIDS' PVC/RUBBER RAIN BOOTS (SIZE 5-10),SKU #1934201 ,UPC: 125522000557,$9.40 
WHOLESALE FASHION SPORT SUNGLASSES,SKU #376362 ,UPC: 758266004453,$2.40 
